,index,instruction
356,512,"###User:
Prerequisite: BREE 672D1

###Answer:
'BREE 672D1'"
357,877,"###User:
Prerequisite: CFRN 104 or Entrance Placement Test or Permission of the Director

###Answer:
'CFRN 104'"
358,1209,"###User:
Prerequisite: COMP 361D1

###Answer:
'COMP 361D1'"
359,3879,"###User:
Prerequisite(s): NUR2 513

###Answer:
'NUR2 513'"
360,147,"###User:
Prerequisites: ANTH 355, or ANTH 352, or HISP 226, or permission of the instructor.

###Answer:
['|', 'ANTH 355', 'ANTH 352', 'HISP 226']"
361,932,"###User:
Prerequisite(s): CHEE 351

###Answer:
'CHEE 351'"
362,279,"###User:
Prerequisite: ATOC 693N1

###Answer:
'ATOC 693N1'"
363,2583,"###User:
Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor.  Note: Course taught in Spanish.

###Answer:
['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
364,864,"###User:
Prerequisite: CACC 521

###Answer:
'CACC 521'"
365,180,"###User:
Prerequisite: ANTH 792N1

###Answer:
'ANTH 792N1'"
366,1425,"###User:
Prerequisite: DENT 423D1

###Answer:
'DENT 423D1'"
367,548,"###User:
Prerequisite: MBA Core (MGCR 629, MGCR 650, MGCR 651, MGCR 652, and MGCR 653) or (MGCR 613, MGCR 614, MGCR 617, MGCR 618, MGCR 620, MGCR 621, MGCR 622, MGCR 628, MGCR 638, MGCR 639, MGCR 640, MGCR 642).

###Answer:
['|', ['&', 'MGCR 629', 'MGCR 650', 'MGCR 651', 'MGCR 652', 'MGCR 653'], ['&', 'MGCR 613', 'MGCR 614', 'MGCR 617', 'MGCR 618', 'MGCR 620', 'MGCR 621', 'MGCR 622', 'MGCR 628', 'MGCR 638', 'MGCR 639', 'MGCR 640', 'MGCR 642']]"
368,1060,"###User:
Prerequisite: MECH 289 (formerly MECH 290)

###Answer:
'MECH 289'"
369,81,"###User:
Prerequisites: ANAT/BIOC 212 or BIOL 201; and one of PHGY 209, NSCI 200 or PSYC 211; or permission of instructor

###Answer:
['&', ['|', 'ANAT 212', 'BIOC 212', 'BIOL 201'], ['|', 'PHGY 209', 'NSCI 200', 'PSYC 211']]"
370,4444,"###User:
Prerequisite: PSYC 690J2

###Answer:
'PSYC 690J2'"
371,1440,"###User:
Prerequisite(s): DENT 525

###Answer:
'DENT 525'"
372,1723,"###User:
Prerequisite: ECSE 324

###Answer:
'ECSE 324'"
373,372,"###User:
Prerequisites: BIOL 200 or BIOL 219; BIOL 206, COMP 204, and BIOL 202 or BIOL 302.

###Answer:
['&', ['|', 'BIOL 200', 'BIOL 219'], 'BIOL 206', 'COMP 204', ['|', 'BIOL 202', 'BIOL 302']]"
374,1388,"###User:
Prerequisite: DENT 311J2

###Answer:
'DENT 311J2'"
375,2612,"###User:
Prerequisite: INTG 518 recommended.

###Answer:
'INTG 518'"
376,2747,"###User:
Prerequisite: LLCU 379D1

###Answer:
'LLCU 379D1'"
377,1868,"###User:
Prerequisite: OBGY 142D1

###Answer:
'OBGY 142D1'"
378,2880,"###User:
Corequisite: POLI 771

###Answer:
'POLI 771'"
379,3147,"###User:
Prerequisites: MUPD 647 or MUPD 796, and MUPD 680 or MUPD 279 or MUPD 116

###Answer:
['&', ['|', 'MUPD 647', 'MUPD 796'], ['|', 'MUPD 680', 'MUPD 279', 'MUPD 116']]"
380,657,"###User:
Prerequisites: IMED 219 or MURG 256 or exemption by examination.

###Answer:
['|', 'IMED 219', 'MURG 256']"
381,78,"###User:
Corequisites: EDFC 439 or PSYT 439 or INDS 213

###Answer:
['|', 'EDFC 439', 'PSYT 439', 'INDS 213']"
382,4119,"###User:
Prerequisite: MDST 177 

###Answer:
'MDST 177'"
383,2018,"###User:
Prerequisite: MIMM 606D1

###Answer:
'MIMM 606D1'"
384,2833,"###User:
Prerequisite(s): FACC 562

###Answer:
'FACC 562'"
385,4252,"###User:
Prerequisite(s): WILD 417, and one of CSPN 460, CSPN 186, CSPN 683, or CSPN 439 or permission from the instructor.

###Answer:
['&', 'WILD 417', ['|', 'CSPN 460', 'CSPN 186', 'CSPN 683', 'CSPN 439']]"
386,2444,"###User:
Prerequisite: One of the following: CTPT 569; EDEE 569, EDEE 108, EDEE 626, EDEE 271, EDEE 417; or permission of the instructor.

###Answer:
['|', 'CTPT 569','EDEE 569', 'EDEE 108', 'EDEE 626','EDEE 271','EDEE 417']"
387,67,"###User:
Prerequisites: EPSC 788 or equivalent and EPSC 619 or permission of the instructor

###Answer:
['&', 'EPSC 788', 'EPSC 619']"
388,76,"###User:
Prerequisites: URBP 696 (or WILDP equivalent), PHWR 568 and PHWR 189

###Answer:
['&', 'URBP 696', 'PHWR 568', 'PHWR 189']"
389,967,"###User:
Prerequisite: OBGY 646 or equivalent 

###Answer:
'OBGY 646'"
390,2441,"###User:
Prerequisites: PHIL 514 and one of: PHIL 248, PHIL 246, PHIL 286, PHIL 291, PHIL 777

###Answer:
['&', 'PHIL 514', ['|', 'PHIL 248', 'PHIL 246', 'PHIL 286', 'PHIL 291', 'PHIL 777']]"
391,3607,"###User:
Prerequisite: OCC1 376

###Answer:
'OCC1 376'"
392,3009,"###User:
Prerequisite: FMT4 576 or permission of instructor

###Answer:
'FMT4 576'"
393,3567,"###User:
Prerequisites: INTG 326

###Answer:
'INTG 326'"
394,3140,"###User:
Prerequisite(s): PHIL 496 or PHIL 763, and PHIL 361 or PHIL 727, and CCMA 717 or CCMA 509 or CCMA 732 or equivalent.

###Answer:
['&', ['|', 'PHIL 496', 'PHIL 763'], ['|', 'PHIL 361', 'PHIL 727'], ['|', 'CCMA 717', 'CCMA 509', 'CCMA 732']]"
395,150,"###User:
Prerequisites: NUR1 754

###Answer:
'NUR1 754'"
396,453,"###User:
Prerequisites: LIBA 129 or equivalent, and permission of instructor; LIBA 542 recommended

###Answer:
'LIBA 129'"
397,3821,"###User:
Prerequisite(s): CENG 261

###Answer:
'CENG 261'"
398,3429,"###User:
Prerequisite: LSCI 781D1

###Answer:
'LSCI 781D1'"
399,52,"###User:
Prerequisites: COMP 657 or COMP 329 or ANSC 170or ANSC 661 or equivalent.

###Answer:
['|', 'COMP 657', 'COMP 329', 'ANSC 170', 'ANSC 661']"
400,396,"###User:
Prerequisites: PSYC 108 or permission of instructor, NUR2 656 or equivalent (any coding experience or permission of the instructor).

###Answer:
['&', 'PSYC 108', 'NUR2 656']"
401,49,"###User:
Corequisite: AGEC 236 or equivalent.

###Answer:
'AGEC 236'"
402,1509,"###User:
Prerequisite: PHTH 396N1

###Answer:
'PHTH 396N1'"
403,1117,"###User:
Prerequisite(s): EDPH 228 or similar course or permission of instructor.

###Answer:
'EDPH 228'"
404,36,"###User:
Corequisite(s): EDPT 375, EDPT 716, EDPT 584

###Answer:
['&', 'EDPT 375', 'EDPT 716', 'EDPT 584']"
405,1741,"###User:
Prerequisites: CCMA 204, INDS 231, CCMA 119, and (CCMA 632 or CPDV 115) or equivalents.

###Answer:
['&', 'CCMA 204', 'INDS 231', 'CCMA 119', ['|', 'CCMA 632', 'CPDV 115']]"
406,1722,"###User:
Prerequisite: CACC 448

###Answer:
'CACC 448'"
407,402,"###User:
Prerequisite: ECON 293 or equivalent.

###Answer:
'ECON 293'"
408,1165,"###User:
Prerequisite: CCCS 362D1

###Answer:
'CCCS 362D1'"
409,4183,"###User:
Corequisite: CSPN 329 or higher level calculus course.

###Answer:
'CSPN 329'"
410,3153,"###User:
Prerequisites: MUTH 772 or MUTH 100 or MUTH 798; MUTH 656 or MUTH 485 or EDPD 637 or FIGE 289; or permission of the instructor

###Answer:
['&', ['|', 'MUTH 772', 'MUTH 100', 'MUTH 798'], ['|', 'MUTH 656', 'MUTH 485', 'EDPD 637', 'FIGE 289']]"
411,4402,"###User:
Prerequisite: ANAT 367D1.

###Answer:
'ANAT 367D1'"
412,2189,"###User:
Prerequisite: MUJZ 706D1.

###Answer:
'MUJZ 706D1'"
413,1126,"###User:
Corequisite: EDPE 243

###Answer:
'EDPE 243'"
414,4125,"###User:
Prerequisite: Knowledge of differential equations at the EDEE 585 level or equivalent.

###Answer:
'EDEE 585'"
415,1529,"###User:
Prerequisite: FINE 321D1

###Answer:
'FINE 321D1'"
416,3245,"###User:
Prerequisite: FIGI 341 

###Answer:
'FIGI 341'"
417,3528,"###User:
Prerequisites: BMDE 414, CCAU 229, BMDE 187 and FDSC 381; or BMDE 527, CCAU 456, BMDE 187 and FDSC 381; or permission of instructor

###Answer:
['|', ['&', 'BMDE 414', 'CCAU 229', 'BMDE 187', 'FDSC 381'], ['&', 'BMDE 527', 'CCAU 456', 'BMDE 187', 'FDSC 381']]"
418,4711,"###User:
Prerequisite: AECH 740D1

###Answer:
'AECH 740D1'"
419,134,"###User:
Prerequisite: ECON 637, or ECON 310, or PPOL 729, or CEFN 134 or ECSE 248, or ECSE 118, or permission of instructor

###Answer:
['|', 'ECON 637', 'ECON 310', 'PPOL 729', 'CEFN 134', 'ECSE 248', 'ECSE 118']"
420,567,"###User:
Corequisite: CORG 393

###Answer:
'CORG 393'"
421,1064,"###User:
Prerequisites: LAWG 574, UQAC 209 (a D grade is acceptable for prerequisite purposes)

###Answer:
['&', 'LAWG 574', 'UQAC 209']"
422,758,"###User:
Prerequisites: CCPA 698 and CCPA 773 or Entrance Placement Test or Permission of the Director

###Answer:
['&', 'CCPA 698', 'CCPA 198']"
423,385,"###User:
Prerequisite: SWRK 464 or permission of instructor.

###Answer:
'SWRK 464'"
424,1965,"###User:
Prerequisite: LLCU 789 

###Answer:
'LLCU 789'"
425,3112,"###User:
Prerequisites: MHEC 540 or MHEC 375, MHEC 114 or equivalent, MHEC 489

###Answer:
['&', ['|', 'MHEC 540', 'MHEC 375'], 'MHEC 114', 'MHEC 489']"
426,2826,"###User:
Prerequisites: HSEL 394, HSEL 319, HSEL 358

###Answer:
['&', 'HSEL 394', 'HSEL 319', 'HSEL 358']"
427,1601,"###User:
Prerequisite(s): CPD2 177D1/D2 or permission of the instructor.

###Answer:
'CPD2 177D1'"
428,840,"###User:
Corequisite(s): BIOC 278

###Answer:
'BIOC 278'"
429,1492,"###User:
Prerequisite: PPOL 141.

###Answer:
'PPOL 141'"
430,1535,"###User:
Prerequisite: EDSP 384D1

###Answer:
'EDSP 384D1'"
431,1513,"###User:
Prerequisite: GEOG 411D1

###Answer:
'GEOG 411D1'"
432,2210,"###User:
Prerequisite(s): MUIN 466, or equivalent, or permission of the instructor.

###Answer:
'MUIN 466'"
433,3699,"###User:
Prerequisite: INTD 594

###Answer:
'INTD 594'"
434,3520,"###User:
Prerequisite: QLSC 269D1/D2 or POTH 257

###Answer:
['|', ['&', 'QLSC 269D1', 'QLSC 269D2'], 'POTH 257']"
435,1371,"###User:
Prerequisite: PARA 763D1

###Answer:
'PARA 763D1'"
436,293,"###User:
Prerequisite(s): GSFS 510; RELG 321 and RELG 283; PRV3 574, PRV3 429 and PRV3 402; AGEC 355 and AGEC 537; or the equivalents of these courses

###Answer:
['&', 'GSFS 510', 'RELG 321', 'RELG 283', 'PRV3 574', 'PRV3 429', 'PRV3 402', 'AGEC 355', 'AGEC 537']"
437,4442,"###User:
Prerequisite: CCFC 210D1

###Answer:
'CCFC 210D1'"
438,403,"###User:
Corequisite: CORG/ANAT 506 and NEUR/RADD 506

###Answer:
['&', ['|', 'CORG 506', 'ANAT 506'], ['|', 'NEUR 506', 'RADD 506']]"
439,4278,"###User:
Prerequisite: COGS 267 or a course in American history

###Answer:
'COGS 267'"
440,2383,"###User:
Prerequisite: PHGY 796N1

###Answer:
'PHGY 796N1'"
441,2573,"###User:
Prerequisite: Successful completion of any Survey of Literature (LLCU 258, LLCU 422, LLCU 781, LLCU 709) or permission of the instructor.  Note: Course taught in Spanish.

###Answer:
['|', 'LLCU 258', 'LLCU 422', 'LLCU 781', 'LLCU 709']"
442,550,"###User:
Prerequisite: MUGT 395D1

###Answer:
'MUGT 395D1'"
443,640,"###User:
Prerequisites:  QLSC 664, (QLSC 210 or QLSC 135), (CSCI 200 or CSCI 556) and (CMR2 129 or CMR2 253)

###Answer:
['&', 'QLSC 664', ['|', 'QLSC 210', 'QLSC 135'], ['|', 'CSCI 200', 'CSCI 556'], ['|', 'CMR2 129', 'CMR2 253']]"
444,136,"###User:
Prerequisite: RELG 545 or RELG 714 or RELG 719 or permission of instructor.

###Answer:
['|', 'RELG 545', 'RELG 714', 'RELG 719']"
445,2944,"###User:
Prerequisite(s): PRAC 775D1/D2 or permission of the instructor.

###Answer:
'PRAC 775D1'"
446,1551,"###User:
Prerequisite: WCOM 405.

###Answer:
'WCOM 405'"
447,2139,"###User:
Prerequisite: ANTH 265.

###Answer:
'ANTH 265'"
448,1102,"###User:
Prerequisite: ESYS 496 or Permission of Instructor.

###Answer:
'ESYS 496'"
449,1953,"###User:
Prerequisites: CORG 627 AND EDFM 685 or equivalent.

###Answer:
['&', 'CORG 627', 'EDFM 685']"
450,671,"###User:
Prerequisite(s): (BASC 684 or ANSC 565 or ANSC 775) and CEFN 240 or Departmental Approval

###Answer:
['&', ['|', 'BASC 684', 'ANSC 565', 'ANSC 775'], 'CEFN 240']"
451,951,"###User:
Prerequisite: ENVR 123 

###Answer:
'ENVR 123'"
452,2140,"###User:
Prerequisite: ANAT 265.

###Answer:
'ANAT 265'"
453,521,"###User:
Prerequisite: ANSC 598.

###Answer:
'ANSC 598'"
454,715,"###User:
Prerequisites: PUB2 271

###Answer:
'PUB2 271'"
455,538,"###User:
Prerequisite(s): LSCI 355, LSCI 278, LSCI 315, QLSC 355, QLSC 278, QLSC 315, SURG 355, SURG 278

###Answer:
['&', 'LSCI 355', 'LSCI 278', 'LSCI 315', 'QLSC 355', 'QLSC 278', 'QLSC 315', 'SURG 355', 'SURG 278']"
456,263,"###User:
Prerequisite (Undergraduate): CGMG 560, CGMG 456, a previous course in fluid dynamics (such as PRAC 466), or permission of instructor

###Answer:
['&', 'CGMG 560', 'CGMG 456', 'PRAC 466']"
457,2721,"###User:
Prerequisite: ELEC 388D1

###Answer:
'ELEC 388D1'"
458,458,"###User:
Prerequisites: Permission of instructor.  INFS 609 and JWST 361, or their equivalents.

###Answer:
['&', 'INFS 609', 'PUB2 361']"
459,1464,"###User:
Prerequisite: ORGB 690J2

###Answer:
'ORGB 690J2'"
460,3685,"###User:
Prerequisite: HGEN 447

###Answer:
'HGEN 447'"
461,952,"###User:
Prerequisite: INFS 337

###Answer:
'INFS 337'"
462,1069,"###User:
Corequisite: FIGS 235

###Answer:
'FIGS 235'"
463,144,"###User:
Prerequisite: NRSC 758 or NRSC 200 or NRSC 449 or NRSC 765 or NRSC 217 or permission of instructor

###Answer:
['|', 'NRSC 758', 'NRSC 200', 'NRSC 449', 'NRSC 765', 'NRSC 217']"
464,4217,"###User:
Prerequisite: MURG 125.

###Answer:
'MURG 125'"
465,1532,"###User:
Corequisites: HISP 770 and HISP 533 or HISP 419D1/D2 or HISP 151D1/D2.

###Answer:
['|', ['&', 'HISP 770', 'HISP 533'], 'HISP 419D1', 'HISP 419D2', 'HISP 151D1', 'HISP 151D2' ]"
466,104,"###User:
Prerequisite(s): MURG 555 or MURG 612 or EDPC 281

###Answer:
['|', 'MURG 555', 'MURG 612', 'EDPC 281']"
467,2396,"###User:
Prerequisite: EDFM 387.

###Answer:
'EDFM 387'"
468,3714,"###User:
Prerequisite: EPSC 546

###Answer:
'EPSC 546'"
469,3363,"###User:
Prerequisites: JWST 777 and instructor permission

###Answer:
'JWST 777'"
470,2515,"###User:
Prerequisite: CBUS 271N1

###Answer:
'CBUS 271N1'"
471,188,"###User:
Prerequisites: AEBI 688 and AEBI 738

###Answer:
['&', 'AEBI 688', 'AEBI 738']"
472,2913,"###User:
Prerequisite: INDG 780 or permission of instructor.

###Answer:
'INDG 780'"
473,1036,"###User:
Prerequisite: TRNS 417J1

###Answer:
'TRNS 417J1'"
474,2590,"###User:
Prerequisite: Successful completion of any Survey of Literature (MHEC 304, MHEC 757, MHEC 461, MHEC 671) or permission of the instructor. Note: Course taught in Spanish.

###Answer:
['|', 'MHEC 304', 'MHEC 757', 'MHEC 461', 'MHEC 671']"
475,1397,"###User:
Prerequisite: MUSP 611J1

###Answer:
'MUSP 611J1'"
476,2881,"###User:
Prerequisite(s): EDFE 797

###Answer:
'EDFE 797'"
477,1407,"###User:
Prerequisite: FIGS 660J2

###Answer:
'FIGS 660J2'"
478,3219,"###User:
Prerequisite: AFRI 614D1

###Answer:
'AFRI 614D1'"
479,103,"###User:
Prerequisite: IMED 122 (or equivalent, or permission)

###Answer:
'IMED 122'"
480,3150,"###User:
Prerequisite: HSSM 677.

###Answer:
'HSSM 677'"
481,3397,"###User:
Prerequisite: IDFC 630 or equivalent 

###Answer:
'IDFC 630'"
482,192,"###User:
Prerequisite: BIOT 245 

###Answer:
'BIOT 245'"
483,160,"###User:
Prerequisites: CCMA 533 or CCMA 521.

###Answer:
['|', 'CCMA 533', 'CCMA 521']"
484,259,"###User:
Prerequisite(s): BASC 471 or BASC 581, BASC 132 or BASC 628, MATH 793 or MATH 549, and MATH 284

###Answer:
['&', ['|', 'BASC 471', 'BASC 581'], ['|', 'BASC 132', 'BASC 628'], ['|', 'MATH 793', 'MATH 549'], 'MATH 284']"
485,3367,"###User:
Prerequisite(s): CCMA 120 and (CCMA 455 or LLCU 281) and (CCMA 595 or LLCU 455)

###Answer:
['&', 'CCMA 120', ['|', 'CCMA 455', 'LLCU 281'], ['|', 'CCMA 595', 'LLCU 455']]"
486,335,"###User:
Prerequisites: MUMT 767 or BIOT 767 or IPEA127, BIOT 152, one of CHSS 698 or IPEA 691; one of MUMT 779 or BIOT 691; MUMT 673 recommended

###Answer:
['&', ['|', 'MUMT 767', 'BIOT 767', 'IPEA 127'], 'BIOT 152', ['|', 'FAES 698', 'IPEA 691'], ['&', 'MUMT 779', 'BIOT 691']]"
487,485,"###User:
Prerequisite: PHAR 430 (formerly EPSC 430)

###Answer:
'PHAR 430'"
488,187,"###User:
Prerequisites: RELG 621 and RELG 289

###Answer:
['&', 'RELG 621', 'RELG 289']"
489,3221,"###User:
Prerequisites: EXMD 567, AGRI 505. Pre-/Co-requisite: AGRI 376.

###Answer:
['&', 'EXMD 567', 'AGRI 505', 'AGRI 376']"
490,191,"###User:
Prerequisite: MGPO 194 or permission of instructor 

###Answer:
'MGPO 194'"
491,2896,"###User:
Prerequisite: ISLA 373D1

###Answer:
'ISLA 373D1'"
492,185,"###User:
Prerequisite(s): AEHM 260

###Answer:
'AEHM 260'"
493,1727,"###User:
Prerequisite: WOOD 165 and permission of the instructor.

###Answer:
'WOOD 165'"
494,3284,"###User:
Prerequisites: CPRL 206 or CPRL 663 or equivalent, and CPRL 691 or CPRL 725 or equivalent.

###Answer:
['&', ['|', 'CPRL 206', 'CPRL 663'], ['|', 'CPRL 691', 'CPRL 725']]"
495,3904,"###User:
Prerequisite: CACF 669

###Answer:
'CACF 669'"
496,3447,"###User:
Prerequisite(s): PUB2 180, PUB2 678, PUB2 749 (PUB2 193 highly recommended).

###Answer:
['&', 'PUB2 180', 'PUB2 678', 'PUB2 749']"
497,1870,"###User:
Prerequisites: CMR2 557, CMR2 359, CMR2 275, CMR2 465, POLI 412, (FIGG 101 or FIGG 101D1/D2), (POLI 721 or POLI 721D1/D2).

###Answer:
['&', 'CMR2 557', 'CMR2 359', 'CMR2 275', 'CMR2 465', 'POLI 412', ['|', 'FIGG 101', ['&', 'FIGG 101D1', 'FIGG 101D2']], ['|', 'POLI 721', ['&', 'POLI 721D1', 'POLI 721D2']]]"
498,1575,"###User:
Prerequisites: ENGL 379 or ENGL 722 and one of ENGL 707, ENGL 769 

###Answer:
['&', ['|', 'ENGL 379', 'ENGL 722'], 'ENGL 707', 'ENGL 769']"
499,3705,"###User:
Prerequisite: ATOC 657 or equivalent or permission of the instructor

###Answer:
'ATOC 657'"
500,3611,"###User:
Prerequisite: OBGY 294

###Answer:
'OBGY 294'"
501,210,"###User:
Prerequisite: WRIT 127 or permission of instructor 

###Answer:
'WRIT 127'"
502,3076,"###User:
Prerequisite: MDST 393

###Answer:
'MDST 393'"
503,420,"###User:
Prerequisite: ARCH 515D1.

###Answer:
'ARCH 515D1'"
504,2299,"###User:
Prerequisite: SEAD 642N1

###Answer:
'SEAD 642N1'"
505,4729,"###User:
Prerequisite: CSCI 453

###Answer:
'CSCI 453'"
506,3383,"###User:
Prerequisites: (INTG 278 and INDS 288 and INDS 671) or (EPSC 186 and EPSC 384) or permission of instructor

###Answer:
['|', ['&', 'INTG 278', 'INDS 288', 'INDS 671'], ['&', 'EPSC 186', 'EPSC 384']]"
507,2810,"###User:
Prerequisite: AGRI 593.

###Answer:
'AGRI 593'"
508,2594,"###User:
Prerequisite: EAST 584D1

###Answer:
'EAST 584D1'"
509,31,"###User:
Prerequisite(s): Any two of the following:  EDEA 435, EDEA 300, EDEA 614, EDEA 724.

###Answer:
['|', ['&', 'EDEA 435', 'EDEA 300'], ['&', 'EDEA 435', 'EDEA 614'], ['&', 'EDEA 435', 'EDEA 724'], ['&', 'EDEA 300', 'EDEA 614'], ['&', 'EDEA 300', 'EDEA 724'], ['&', 'EDEA 614', 'EDEA 724']]"
510,4123,"###User:
Prerequisite: URBP 213 

###Answer:
'URBP 213'"
511,3922,"###User:
Prerequisite: PAED 453 or permission of the instructor.

###Answer:
'PAED 453'"
512,2593,"###User:
Prerequisite: Successful completion of any Survey of Literature (EDEE 453, EDEE 123, EDEE 383, EDEE 252) or permission of the instructor. Note: Course taught in Spanish.

###Answer:
['|', 'EDEE 453', 'EDEE 123', 'EDEE 383', 'EDEE 252']"
513,4676,"###User:
Prerequisite: IGFS 721D1

###Answer:
'IGFS 721D1'"
514,3622,"###User:
Prerequisite(s): CCOM 216

###Answer:
'CCOM 216'"
515,3240,"###User:
Prerequisites: CCCS 608, EDPC 576, FMED 353, FMED 498.

###Answer:
['&', 'CCCS 608', 'EDPC 576', 'FMED 353', 'FMED 498']"
516,4334,"###User:
Prerequisite: EDFE 666D1

###Answer:
'EDFE 666D1'"
517,1506,"###User:
Prerequisite: PRV3 725D1

###Answer:
'PRV3 725D1'"
518,3419,"###User:
Prerequisite: MIME 261N1

###Answer:
'MIME 261N1'"
519,4452,"###User:
Prerequisite: FILM 331D1

###Answer:
'FILM 331D1'"
520,3186,"###User:
Prerequisite: BIOL 484

###Answer:
'BIOL 484'"
521,2023,"###User:
Prerequisites: CMIS 551 - Advanced Research Seminar 1, CMIS 543 - Advanced Research Seminar 2, CMIS 184 - Advanced Research Seminar 3

###Answer:
['&', 'CMIS 551', 'CMIS 543', 'CMIS 184']"
522,4244,"###User:
Prerequisite: OPTH 627

###Answer:
'OPTH 627'"
523,2407,"###User:
Prerequisite(s): (HSED 733 OR HSED 321 OR Instructor's approval) AND (MATH 733 OR MATH 146 OR Instructor's approval)

###Answer:
['&', ['|', 'HSED 733', 'HSED 321'], ['|', 'MATH 733', 'MATH 146']]"
524,255,"###User:
Corequisites: GSFS 701, HSSM 759, ARTH 583 or permission of the Program Director

###Answer:
['&', 'GSFS 701', 'HSSM 759', 'ARTH 583']"
525,2578,"###User:
Prerequisite: Successful completion of any Survey of Literature (FMTP 629, FMTP 685, FMTP 166, FMTP 100) or permission of the instructor.

###Answer:
['|', 'FMTP 629', 'FMTP 685', 'FMTP 166', 'FMTP 100']"
526,257,"###User:
Prerequisite(s): Two courses from the following list: WOOD 694, WOOD 595,WOOD 293, WOOD 589, MUIN 408, MUIN 564, INFS 694, INFS 473, INFS 724, INFS 370, INFS 334, ANAE 663, ANAE 799, ANAE 233, MPMC 193.

###Answer:
['|', ['&', 'WOOD 694', 'WOOD 595'], ['&', 'WOOD 694', 'WOOD 293'], ['&', 'WOOD 694', 'WOOD 589'], ['&', 'WOOD 694', 'MUIN 408'], ['&', 'WOOD 694', 'MUIN 564'], ['&', 'WOOD 694', 'INFS 694'], ['&', 'WOOD 694', 'INFS 724'], ['&', 'WOOD 694', 'INFS 370'], ['&', 'WOOD 694', 'INFS 334'], ['&', 'WOOD 694', 'ANAE 663'], ['&', 'WOOD 694', 'ANAE 799'], ['&', 'WOOD 694', 'ANAE 233'], ['&', 'WOOD 694', 'MPMC 193'], ['&', 'WOOD 595', 'WOOD 293'], ['&', 'WOOD 595', 'WOOD 589'], ['&', 'WOOD 595', 'MUIN 408'], ['&', 'WOOD 595', 'MUIN 564'], ['&', 'WOOD 595', 'INFS 694'], ['&', 'WOOD 595', 'INFS 724'], ['&', 'WOOD 595', 'INFS 370'], ['&', 'WOOD 595', 'INFS 334'], ['&', 'WOOD 595', 'ANAE 663'], ['&', 'WOOD 595', 'ANAE 799'], ['&', 'WOOD 595', 'ANAE 233'], ['&', 'WOOD 595', 'MPMC 193'], ['&', 'WOOD 293', 'WOOD 589'], ['&', 'WOOD 293', 'MUIN 408'], ['&', 'WOOD 293', 'MUIN 564'], ['&', 'WOOD 293', 'INFS 694'], ['&', 'WOOD 293', 'INFS 724'], ['&', 'WOOD 293', 'INFS 370'], ['&', 'WOOD 293', 'INFS 334'], ['&', 'WOOD 293', 'ANAE 663'], ['&', 'WOOD 293', 'ANAE 799'], ['&', 'WOOD 293', 'ANAE 233'], ['&', 'WOOD 293', 'MPMC 193'], ['&', 'WOOD 589', 'MUIN 408'], ['&', 'WOOD 589', 'MUIN 564'], ['&', 'WOOD 589', 'INFS 694'], ['&', 'WOOD 589', 'INFS 724'], ['&', 'WOOD 589', 'INFS 370'], ['&', 'WOOD 589', 'INFS 334'], ['&', 'WOOD 589', 'ANAE 663'], ['&', 'WOOD 589', 'ANAE 799'], ['&', 'WOOD 589', 'ANAE 233'], ['&', 'WOOD 589', 'MPMC 193'], ['&', 'MUIN 408', 'MUIN 564'], ['&', 'MUIN 408', 'INFS 694'], ['&', 'MUIN 408', 'INFS 724'], ['&', 'MUIN 408', 'INFS 370'], ['&', 'MUIN 408', 'INFS 334'], ['&', 'MUIN 408', 'ANAE 663'], ['&', 'MUIN 408', 'ANAE 799'], ['&', 'MUIN 408', 'ANAE 233'], ['&', 'MUIN 408', 'MPMC 193'], ['&', 'MUIN 564', 'INFS 694'], ['&', 'MUIN 564', 'INFS 724'], ['&', 'MUIN 564', 'INFS 370'], ['&', 'MUIN 564', 'INFS 334'], ['&', 'MUIN 564', 'ANAE 663'], ['&', 'MUIN 564', 'ANAE 799'], ['&', 'MUIN 564', 'ANAE 233'], ['&', 'MUIN 564', 'MPMC 193'], ['&', 'INFS 694', 'INFS 724'], ['&', 'INFS 694', 'INFS 370'], ['&', 'INFS 694', 'INFS 334'], ['&', 'INFS 694', 'ANAE 663'], ['&', 'INFS 694', 'ANAE 799'], ['&', 'INFS 694', 'ANAE 233'], ['&', 'INFS 694', 'MPMC 193'], ['&', 'INFS 724', 'INFS 370'], ['&', 'INFS 724', 'INFS 334'], ['&', 'INFS 724', 'ANAE 663'], ['&', 'INFS 724', 'ANAE 799'], ['&', 'INFS 724', 'ANAE 233'], ['&', 'INFS 724', 'MPMC 193'], ['&', 'INFS 370', 'INFS 334'], ['&', 'INFS 370', 'ANAE 663'], ['&', 'INFS 370', 'ANAE 799'], ['&', 'INFS 370', 'ANAE 233'], ['&', 'INFS 370', 'MPMC 193'], ['&', 'INFS 334', 'ANAE 663'], ['&', 'INFS 334', 'ANAE 799'], ['&', 'INFS 334', 'ANAE 233'], ['&', 'INFS 334', 'MPMC 193'], ['&', 'ANAE 663', 'ANAE 799'], ['&', 'ANAE 663', 'ANAE 233'], ['&', 'ANAE 663', 'MPMC 193'], ['&', 'ANAE 799', 'ANAE 233'], ['&', 'ANAE 799', 'MPMC 193'], ['&', 'ANAE 233', 'MPMC 193']]"
